CRN,Course,Section,Title,Days,Times,Instructor,Loc,Class Info
21569,MET 10,50Z,Weather and Climate ProcessesView Footnote,·······,TBA-TBA,Bridget James,ONLINE,OL
24621,MET 10,65Z,Weather and Climate ProcessesView Footnote,·······,TBA-TBA,Bridget James,ONLINE,OL
25429,MET 10L,62Z,Meteorology LaboratoryView Footnote,·······,TBA-TBA,Alicia Mullens,ONLINE,OL
25865,MET 12,01Y,Introduction to Climate ChangeView Footnote,M·W····,11:30 AM-12:45 PM,Alicia Mullens,S42,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27589,MET 20L,62Z,Climate Change LaboratoryView Footnote,·······,TBA-TBA,Alicia Mullens,ONLINE,OL
01652,MUSI 1A,02,Music Appreciation: Music in Western CulturesView Footnote,·T·R···,12:30 PM-02:20 PM,John Thomsen,A11,
01658,MUSI 1A,62Z,Music Appreciation: Music in Western CulturesView Footnote,·······,TBA-TBA,Benett Zussman,ONLINE,OLLQ
27700,MUSI 1C,01Z,Music Appreciation: World Music in America,·······,TBA-TBA,Benett Zussman,ONLINE,OLLQ
24736,MUSI 1D,01Y,Music Appreciation: Rock - From Roots to RapView Footnote,···R···,02:30 PM-04:20 PM,Benett Zussman,A11,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26403,NAIS 12,60Z,Ethnic Studies and the Historical Experiences of Native AmericansView Footnote,·······,TBA-TBA,Meghan Kensler,ONLINE,OL
27906,NAIS 31,01Y,Ethnic Studies: Native Hawaiian and Pacific Islander ExperiencesView Footnote,M······,11:30 AM-01:20 PM,David Palaita,MCC-10,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27905,NAIS 31,02V,Ethnic Studies: Native Hawaiian and Pacific Islander ExperiencesView Footnote,M······,11:30 AM-01:20 PM,David Palaita,MCC-10,
TBA,·······,TBA-TBA,,ONLINE,,,,
27156,NUTR 10,01Z,Contemporary NutritionView Footnote,·······,TBA-TBA,Alison Campbell,ONLINE,OL
27150,NUTR 10,03Z,Contemporary NutritionView Footnote,M······,09:30 AM-11:20 AM,Georgia Acker,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
27151,NUTR 10,04Z,Contemporary NutritionView Footnote,·······,TBA-TBA,Alison Campbell,ONLINE,OL
27152,NUTR 10,05Z,Contemporary NutritionView Footnote,M······,11:30 AM-01:20 PM,Georgia Acker,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
27784,NUTR 10,06Z,Contemporary NutritionView Footnote,·······,TBA-TBA,Alison Campbell,ONLINE,OLLQ
27154,NUTR 10,07Z,Contemporary NutritionView Footnote,M······,03:30 PM-05:20 PM,Georgia Acker,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
27850,NUTR 10,50Z,Contemporary NutritionView Footnote,·······,TBA-TBA,Anna Miller,ONLINE,OLLQ
27353,PE 32B,02,Women's Badminton TechniquesView Footnote,MT·R···,06:30 PM-08:30 PM,Mark Landefeld,PE21W,
26765,PE 32F,02,Defensive Baseball TechniquesView Footnote,MTWR···,06:00 AM-07:15 AM,Donald Watkins,FLDBB,
26608,PE 32G,01,Offensive Baseball TechniquesView Footnote,MTWR···,03:00 PM-04:15 PM,Donald Watkins,FLDBB,
27898,PE 32N,01,Track and Field TechniquesView Footnote,MTWR···,03:30 PM-04:45 PM,Nick Mattis,ST-TR,
27899,PE 32N,02,Track and Field TechniquesView Footnote,MTWR···,06:00 AM-07:15 AM,Nick Mattis,ST-TR,
27942,PE 32N,03,Track and Field TechniquesView Footnote,MTWRF··,05:00 AM-06:15 AM,Nick Mattis,ST-TR,LQ
26606,PE 32P,01,Techniques of SwimmingView Footnote,·TWR···,09:30 AM-11:20 AM,Danielle Altman,POOLW,
27791,PE 32P,50Z,Techniques of SwimmingView Footnote,·······,TBA-TBA,Danielle Altman,ONLINE,OL
28023,PE 32P,51Z,Techniques of Swimming,·······,TBA-TBA,Danielle Altman,ONLINE,OLLQ
26600,PE 39M,01,Intercollegiate Men's SoccerView Footnote,MTWRFS·,02:30 PM-03:45 PM,Rusty Johnson,FLDS,
26760,PE 39M,02,Intercollegiate Men's SoccerView Footnote,MTWRFS·,06:00 AM-07:15 AM,Rusty Johnson,FLDS,
27825,PE 39W,01,Intercollegiate Women's SoccerView Footnote,MTWRF··,02:30 PM-04:00 PM,Mark Landefeld,FLDS,
26609,PE 40,01,Intercollegiate FootballView Footnote,MTWRF··,04:30 PM-06:00 PM,Joe D'Agostino,ST-FLD,
26763,PE 40,02,Intercollegiate FootballView Footnote,MTWRF··,05:30 AM-07:00 AM,"BORKEY, CHAD",ST-FLD,
26599,PE 42W,01,Intercollegiate Women's VolleyballView Footnote,MTWRF··,07:00 AM-08:30 AM,Dawnis Guevara,PE21W,
26759,PE 42W,02,Intercollegiate Women's VolleyballView Footnote,MTWRF··,06:00 AM-07:30 AM,Dawnis Guevara,PE21E,
27900,PE 43,01,Intercollegiate Cross Country (Men and Women)View Footnote,MTWRF··,01:30 PM-03:00 PM,Nick Mattis,ST-TR,
27901,PE 43,02,Intercollegiate Cross Country (Men and Women)View Footnote,MTWRF··,05:30 AM-07:00 AM,Nick Mattis,ST-TR,
01995,PEA 1X,01,Adapted Total FitnessView Footnote,M·W·F··,10:00 AM-10:50 AM,"PERKINS, NATHAN",PE13,
26817,PEA 1X,02Z,Adapted Total FitnessView Footnote,·T·R···,04:30 PM-05:45 PM,"BENNETT, MARY",ONLINE,OL
27698,PEA 1X,03,Adapted Total FitnessView Footnote,·T·R···,09:00 AM-10:15 AM,"PERKINS, NATHAN",PE13,
01998,PEA 1X,04Z,Adapted Total FitnessView Footnote,·T·R···,08:30 AM-09:45 AM,"REGEHR, CASEY",ONLINE,OL
27120,PEA 2X,02,Adapted Strength DevelopmentView Footnote,M·W·F··,11:00 AM-11:50 AM,"PERKINS, NATHAN",PE13,
02005,PEA 2X,03,Adapted Strength DevelopmentView Footnote,·T·R···,01:00 PM-02:15 PM,"LEE, CINDY",PE13,
02009,PEA 4X,01,Adapted Cardiovascular TrainingView Footnote,M·W·F··,01:00 PM-01:50 PM,"PERKINS, NATHAN",PE13,
02703,PEA 4X,02,Adapted Cardiovascular TrainingView Footnote,·T·R···,10:30 AM-11:45 AM,"LEE, CINDY",PE13,
27122,PEA 4X,03,Adapted Cardiovascular TrainingView Footnote,M·W·F··,09:00 AM-09:50 AM,"REGEHR, CASEY",PE13,
26613,PEA 5X,01,Adapted Aquatic ExerciseView Footnote,M·W·F··,10:30 AM-11:20 AM,"REGEHR, CASEY",POOLE,
26615,PEA 5X,02,Adapted Aquatic ExerciseView Footnote,·T·R···,05:30 AM-06:45 AM,"REGEHR, CASEY",POOLE,
26612,PEA 15X,01,Adapted Aerobic SwimmingView Footnote,M·W····,05:30 AM-06:45 AM,"REGEHR, CASEY",POOLE,
26614,PEA 15X,02,Adapted Aerobic SwimmingView Footnote,M·W·F··,11:30 AM-12:20 PM,"REGEHR, CASEY",POOLE,
27324,PEA 15X,03,Adapted Aerobic SwimmingView Footnote,·T·R···,10:30 AM-11:45 AM,"REGEHR, CASEY",POOLE,
27000,PHIL 1,01Y,Introduction to PhilosophyView Footnote,·T·····,10:30 AM-12:20 PM,Nick Baiamonte,MLC111,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27721,PHIL 1,02Y,Introduction to PhilosophyView Footnote,M······,01:30 PM-03:20 PM,Sangeeta Mishra,MLC111,HYLQ
CLAS,·······,TBA-TBA,,ONLINE,,,,
23167,PHIL 1,50Z,Introduction to PhilosophyView Footnote,·······,TBA-TBA,Richard Hammerud,ONLINE,OL
24114,PHIL 1,51Z,Introduction to PhilosophyView Footnote,·······,TBA-TBA,Nick Baiamonte,ONLINE,OL
25802,PHIL 1,52Z,Introduction to PhilosophyView Footnote,·······,TBA-TBA,Richard Hammerud,ONLINE,OL
27727,PHIL 1,53Z,Introduction to PhilosophyView Footnote,·······,TBA-TBA,"LIN, DEENA",ONLINE,OL
27726,PHIL 2,50Z,Social and Political PhilosophyView Footnote,·······,TBA-TBA,Sangeeta Mishra,ONLINE,OL
02037,PHIL 3,01Y,Critical Thinking and WritingView Footnote,·T·····,12:30 PM-02:45 PM,Nick Baiamonte,MLC111,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
20297,PHIL 3,51Z,Critical Thinking and WritingView Footnote,·······,TBA-TBA,Nick Baiamonte,ONLINE,OL
02045,PHIL 4,01Y,Critical ThinkingView Footnote,···R···,02:30 PM-04:20 PM,Javier Galindo,ADM101,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27722,PHIL 4,50Z,Critical ThinkingView Footnote,·······,TBA-TBA,"LIN, DEENA",ONLINE,OLLQ
26999,PHIL 4,51Z,Critical ThinkingView Footnote,·······,TBA-TBA,Anthony Hanson,ONLINE,OL
26395,PHIL 8,50Z,EthicsView Footnote,·······,TBA-TBA,Nick Baiamonte,ONLINE,OL
27725,PHIL 8,51Z,EthicsView Footnote,·······,TBA-TBA,Nick Baiamonte,ONLINE,OLLQ
27643,PHTG 7,01Y,Exploring Visual ExpressionView Footnote,···R···,09:30 AM-11:20 AM,Hiroyo Kaneko,FOR4,HYLQ
LAB,·······,TBA-TBA,,ONLINE,,,,
23672,PHTG 7,51Z,Exploring Visual ExpressionView Footnote,·······,TBA-TBA,Tressa Pack,ONLINE,OL
23649,PHTG 21,62Z,Contemporary Trends in PhotographyView Footnote,·······,TBA-TBA,Sita Bhattacharji,ONLINE,OLLQ
25051,PHYS 2A,02Y,General Introductory PhysicsView Footnote,MT·R···,09:30 AM-10:20 AM,Ronald Francis,S35,HY
LAB,···R···,10:30 AM-01:20 PM,,S11,,,,
CLAS,··W····,09:30 AM-10:20 AM,,ONLINE,,,,
02071,PHYS 2A,03Y,General Introductory PhysicsView Footnote,MT·R···,09:30 AM-10:20 AM,Ronald Francis,S11,HY
LAB,·T·····,10:30 AM-01:20 PM,,,,,,
CLAS,··W····,09:30 AM-10:20 AM,,ONLINE,,,,
02076,PHYS 4A,01Y,Physics for Scientists and Engineers: MechanicsView Footnote,MTWR···,09:30 AM-10:20 AM,Eduardo Luna,S32,HY
LAB,···R···,10:30 AM-01:20 PM,,S17,,,,
CLAS,····F··,09:30 AM-10:20 AM,,ONLINE,,,,
02075,PHYS 4A,02Y,Physics for Scientists and Engineers: MechanicsView Footnote,MTWR···,09:30 AM-10:20 AM,Eduardo Luna,S32,HY
LAB,·T·····,10:30 AM-01:20 PM,,S17,,,,
CLAS,····F··,09:30 AM-10:20 AM,,ONLINE,,,,
25893,PHYS 4A,03Y,Physics for Scientists and Engineers: MechanicsView Footnote,MTWR···,12:30 PM-01:20 PM,Megan Ulbricht,S34,HY
LAB,·T·····,01:30 PM-04:20 PM,Ronald Francis,S11,,,,
CLAS,····F··,12:30 PM-01:20 PM,,ONLINE,,,,
25898,PHYS 4A,04Y,Physics for Scientists and Engineers: MechanicsView Footnote,MTWR···,12:30 PM-01:20 PM,Megan Ulbricht,S34,HY
LAB,···R···,01:30 PM-04:20 PM,Eduardo Luna,S11,,,,
CLAS,····F··,12:30 PM-01:20 PM,,ONLINE,,,,
25354,PHYS 4A,08Y,Physics for Scientists and Engineers: MechanicsView Footnote,MTWR···,01:30 PM-02:20 PM,Kasra Khazeni,S35,HY
LAB,M······,02:30 PM-05:20 PM,Eduardo Luna,S17,,,,
CLAS,····F··,01:30 PM-02:20 PM,,ONLINE,,,,
25975,PHYS 4A,09Y,Physics for Scientists and Engineers: MechanicsView Footnote,MTWR···,01:30 PM-02:20 PM,Kasra Khazeni,S35,HY
LAB,··W····,02:30 PM-05:20 PM,Juming Jiao,S17,,,,
CLAS,····F··,01:30 PM-02:20 PM,,ONLINE,,,,
02078,PHYS 4A,10,Physics for Scientists and Engineers: MechanicsView Footnote,M·W····,05:30 PM-07:45 PM,"ALIZADEH, RAMIN",MLC105,
LAB,M······,08:00 PM-10:50 PM,"AKL, MARX",S11,,,,
02080,PHYS 4A,11,Physics for Scientists and Engineers: MechanicsView Footnote,M·W····,05:30 PM-07:45 PM,"ALIZADEH, RAMIN",MLC105,
LAB,··W····,07:55 PM-10:45 PM,"CHANG, CHING-YEE",S11,,,,
27862,POLI 1,02Y,American Government and PoliticsView Footnote,M·W····,08:30 AM-10:20 AM,Ishmael Tarikh,FOR4,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24124,POLI 1,01EZ,American Government and PoliticsView Footnote,M······,09:30 AM-11:20 AM,James Nguyen,ONLINE,$0OL
CLAS,··W····,09:30 AM-12:20 PM,,,,,,
27888,POLI 1,03EZ,American Government and PoliticsView Footnote,·T·····,10:30 AM-12:20 PM,Robert Stockwell,ONLINE,$0OL
CLAS,···R···,10:30 AM-01:20 PM,,,,,,
24122,POLI 1,50Z,American Government and PoliticsView Footnote,·······,TBA-TBA,Scott Heffner,ONLINE,OL
27054,POLI 1,51Z,American Government and PoliticsView Footnote,·······,TBA-TBA,Scott Heffner,ONLINE,OLLQ
24125,POLI 1,52Z,American Government and PoliticsView Footnote,·······,TBA-TBA,Albert Schendan,ONLINE,OL
24130,POLI 1,53Z,American Government and PoliticsView Footnote,·······,TBA-TBA,Albert Schendan,ONLINE,OL
28017,POLI 1,58Z,American Government and Politics,·······,TBA-TBA,Laura Chin,ONLINE,OLLQ
24120,POLI 1,09EZ,American Government and PoliticsView Footnote,·······,TBA-TBA,Laura Chin,ONLINE,OL
27945,POLI 1H,03EZ,American Government and Politics - HONORSView Footnote,·T·····,10:30 AM-12:20 PM,Robert Stockwell,ONLINE,OL
CLAS,···R···,10:30 AM-01:20 PM,,,,,,
27764,POLI 2,01Y,Comparative PoliticsView Footnote,·T·····,09:30 AM-11:20 AM,James Nguyen,L25,$0HY
CLAS,···R···,09:30 AM-11:20 AM,,ONLINE,,,,
27989,POLI 3,51Z,International RelationsView Footnote,·······,TBA-TBA,Robert Ovetz,ONLINE,OLLQ
23482,POLI 5,01Y,Introduction to Political Thought and TheoryView Footnote,M······,10:30 AM-12:20 PM,Robert Stockwell,ADM101,$0HY
TBA,··W····,10:30 AM-12:20 PM,,ONLINE,,,,
26485,POLI 15,50Z,"Grassroots Democracy: Race, Politics and the American PromiseView Footnote",·······,TBA-TBA,Laura Chin,ONLINE,OL
27056,POLI 17,01EZ,Grassroots Democracy: Leadership and PowerView Footnote,·T·R···,06:00 PM-07:50 PM,Cynthia Kaufman,ONLINE,OL
27885,POLI 17H,01EZ,Grassroots Democracy: Leadership and Power - HONORSView Footnote,·T·R···,06:00 PM-07:50 PM,Cynthia Kaufman,ONLINE,OL
02123,PSYC 1,01Y,General PsychologyView Footnote,·T·R···,10:30 AM-11:20 AM,Mark Healy,FOR1,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26460,PSYC 1,02,General PsychologyView Footnote,·T·R···,12:30 PM-02:20 PM,Harvey Cohen,ADM119,
26461,PSYC 1,03Z,General PsychologyView Footnote,M·W····,11:30 AM-12:20 PM,Joshua Avera,ONLINE,OL
CLAS,·······,TBA-TBA,,,,,,
22811,PSYC 1,04Y,General PsychologyView Footnote,·T·R···,09:30 AM-10:20 AM,Mark Healy,FOR1,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26462,PSYC 1,05Y,General PsychologyView Footnote,M······,01:30 PM-03:20 PM,Derrick Felton,ADM119,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26463,PSYC 1,01GF,General PsychologyView Footnote,·T·····,04:00 PM-05:45 PM,Jeanette Tucker,HOMSTD,OC
TBA,·······,TBA-TBA,,ONLINE,,,,
27943,PSYC 1,01YF,General PsychologyView Footnote,·T·····,04:00 PM-05:45 PM,Jeanette Tucker,HOMSTD,OCHY
TBA,·······,TBA-TBA,,ONLINE,,,,
02128,PSYC 1,50Z,General PsychologyView Footnote,·······,TBA-TBA,Robin Schulte,ONLINE,OL
02124,PSYC 1,51Z,General PsychologyView Footnote,·······,TBA-TBA,Mark Healy,ONLINE,OL
02130,PSYC 1,53Z,General PsychologyView Footnote,·······,TBA-TBA,James Clifford Jr,ONLINE,OL
02126,PSYC 1,54Z,General PsychologyView Footnote,·······,TBA-TBA,Taiki Kondo,ONLINE,$0OL
02132,PSYC 1,56Z,General PsychologyView Footnote,·······,TBA-TBA,Susan Thomas,ONLINE,$0OL
02135,PSYC 1,60Z,General PsychologyView Footnote,·······,TBA-TBA,Robin Schulte,ONLINE,OL
23120,PSYC 1,61Z,General PsychologyView Footnote,·······,TBA-TBA,Sandra Trafalis,ONLINE,OL
23712,PSYC 1,62,General PsychologyView Footnote,·T·R···,06:30 PM-08:20 PM,Hy Diep,L27,$0
02137,PSYC 1,62Z,General PsychologyView Footnote,·······,TBA-TBA,Chris Olsen,ONLINE,OL
27451,PSYC 1,63Z,General PsychologyView Footnote,·······,TBA-TBA,Latosha Baldwin,ONLINE,OLLQ
25900,PSYC 2,01Y,Research Methods in PsychologyView Footnote,·T·····,09:30 AM-11:20 AM,Susan Thomas,L27,$0HY
LAB,···R···,09:30 AM-11:20 AM,,,,,,
TBA,·······,TBA-TBA,,ONLINE,,,,
27213,PSYC 2,02Z,Research Methods in PsychologyView Footnote,M·W····,06:00 PM-07:50 PM,Taiki Kondo,ONLINE,$0OL
TBA,·······,TBA-TBA,,,,,,
LAB,·······,TBA-TBA,,,,,,
26494,PSYC 3,50Z,An Introduction to Cognitive PsychologyView Footnote,·······,TBA-TBA,James Clifford Jr,ONLINE,OL
02142,PSYC 4,50Z,Abnormal PsychologyView Footnote,·······,TBA-TBA,Daniel Bunce,ONLINE,OL
20291,PSYC 4,62Z,Abnormal PsychologyView Footnote,·······,TBA-TBA,Sandra Trafalis,ONLINE,OL
24730,PSYC 4,65Z,Abnormal PsychologyView Footnote,·······,TBA-TBA,Latosha Baldwin,ONLINE,OL
21178,PSYC 5,50Z,Introduction to Theories of PersonalityView Footnote,·······,TBA-TBA,Daniel Bunce,ONLINE,OL
24968,PSYC 8,01,Introduction to Social PsychologyView Footnote,·T·R···,10:30 AM-12:20 PM,Harvey Cohen,ADM119,
22279,PSYC 8,50Z,Introduction to Social PsychologyView Footnote,·······,TBA-TBA,Jeanette Tucker,ONLINE,OL
26645,PSYC 8,51Z,Introduction to Social PsychologyView Footnote,·······,TBA-TBA,Robin Schulte,ONLINE,OL
02149,PSYC 10G,01F,Child Development (The Early Years)View Footnote,·T·R···,04:00 PM-05:50 PM,Jayanti Roy,HOMSTD,OC
02151,PSYC 10G,04Y,Child Development (The Early Years)View Footnote,···R···,06:30 PM-08:20 PM,"SUN, LI WEI",CD1-10,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
26487,PSYC 10G,02CF,Child Development (The Early Years)View Footnote,·····S·,09:30 AM-01:20 PM,Shelley Gonzales,CDO,OC
02148,PSYC 10G,50Z,Child Development (The Early Years)View Footnote,·······,TBA-TBA,"SUN, LI WEI",ONLINE,OL
02150,PSYC 10G,51Z,Child Development (The Early Years)View Footnote,·······,TBA-TBA,Cristina Leal,ONLINE,OL
02152,PSYC 10H,01Z,Child Growth and Development (Middle Childhood and Adolescence)View Footnote,··W····,06:30 PM-10:20 PM,Jila Maleksalehi,ONLINE,OL
02154,PSYC 10H,02Z,Child Growth and Development (Middle Childhood and Adolescence)View Footnote,···R···,10:30 AM-12:20 PM,Julie Kennedy,ONLINE,OL
CLAS,·······,TBA-TBA,,,,,,
21566,PSYC 12,50Z,Psychology of GenderView Footnote,·······,TBA-TBA,Sandra Trafalis,ONLINE,OL
02158,PSYC 14,01Y,Developmental Aspects of PsychologyView Footnote,M······,09:30 AM-11:20 AM,Melissa Tamas,L27,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
02159,PSYC 14,51Z,Developmental Aspects of PsychologyView Footnote,·······,TBA-TBA,Susan Thomas,ONLINE,$0OL
02161,PSYC 14,62Z,Developmental Aspects of PsychologyView Footnote,·······,TBA-TBA,Melissa Tamas,ONLINE,OL
02162,PSYC 15,01Y,Statistics and Research Methods in Social ScienceView Footnote,·T·R···,11:30 AM-12:20 PM,Mark Healy,FOR1,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26464,PSYC 15,50Z,Statistics and Research Methods in Social ScienceView Footnote,·······,TBA-TBA,Chris Olsen,ONLINE,OL
25894,PSYC 24,50Z,Introduction to PsychobiologyView Footnote,·······,TBA-TBA,James Clifford Jr,ONLINE,OL
28009,PSYC 24,51Z,Introduction to PsychobiologyView Footnote,·······,TBA-TBA,James Clifford Jr,ONLINE,OL
02248,RUSS 1,40Z,Elementary Russian (First Quarter)View Footnote,·T·R···,06:30 PM-08:45 PM,Larissa Chiriaeva,ONLINE,OL
26312,RUSS 1,41Z,Elementary Russian (First Quarter)View Footnote,M·W····,06:30 PM-08:45 PM,Larissa Chiriaeva,ONLINE,OL
02250,SIGN 1,40,Elementary American Sign Language (First Quarter)View Footnote,·T·R···,09:00 AM-11:15 AM,David Rawson,MCC-12,
02251,SIGN 1,42,Elementary American Sign Language (First Quarter)View Footnote,M·W····,06:30 PM-08:45 PM,David Rawson,MCC-12,
24150,SOC 1,02Y,Introduction to SociologyView Footnote,M······,12:30 PM-02:20 PM,Steve Nava,MLC110,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
20294,SOC 1,03Y,Introduction to SociologyView Footnote,·T·R···,11:30 AM-12:20 PM,Jovanah Arrington,MLC109,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27080,SOC 1,04Y,Introduction to SociologyView Footnote,··W····,12:30 PM-02:20 PM,Steve Nava,MLC110,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26786,SOC 1,01EY,Introduction to SociologyView Footnote,M·W····,09:30 AM-10:20 AM,Steve Nava,MLC110,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
02747,SOC 1,01KE,Introduction to SociologyView Footnote,M·W····,09:30 AM-10:20 AM,Steve Nava,MLC110,
CLAS,·······,TBA-TBA,,ONLINE,,,,
21571,SOC 1,50Z,Introduction to SociologyView Footnote,·······,TBA-TBA,Kamau Birago,ONLINE,OL
26327,SOC 1,51Z,Introduction to SociologyView Footnote,·······,TBA-TBA,Mark Pasion,ONLINE,OL
02282,SOC 1,52Z,Introduction to SociologyView Footnote,·······,TBA-TBA,Mark Pasion,ONLINE,OL
02287,SOC 1,62Z,Introduction to SociologyView Footnote,·······,TBA-TBA,Jason Dehaan,ONLINE,OL
27719,SOC 5,50Z,Sociology of Globalization and Social ChangeView Footnote,·······,TBA-TBA,Kamau Birago,ONLINE,OL
02292,SOC 15,01Y,Statistics and Research Methods in Social ScienceView Footnote,·T·R···,11:30 AM-12:20 PM,Mark Healy,FOR1,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26465,SOC 15,50Z,Statistics and Research Methods in Social ScienceView Footnote,·······,TBA-TBA,Chris Olsen,ONLINE,OL
24146,SOC 28,62Z,Sociology of GenderView Footnote,·······,TBA-TBA,Jason Dehaan,ONLINE,OL
26468,SOC 29,50Z,Sociology of Structural Racism in the United StatesView Footnote,·······,TBA-TBA,Tracy Dehaan,ONLINE,OL
27078,SOC 35,50Z,"Marriage, Family, and Intimate RelationshipsView Footnote",·······,TBA-TBA,Tracy Dehaan,ONLINE,OL
25069,SPAN 1,01Y,Elementary Spanish (First Quarter)View Footnote,·T·R···,12:30 PM-02:20 PM,Carmen Lizardi-Folley,MCC-13,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
02316,SPAN 1,01Z,Elementary Spanish (First Quarter)View Footnote,MTWR···,08:30 AM-09:20 AM,Carmen Lizardi-Folley,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
26981,SPAN 1,40,Elementary Spanish (First Quarter)View Footnote,M·W····,06:30 PM-08:45 PM,Viviana Alcazar,MLC112,
26980,SPAN 1,41Z,Elementary Spanish (First Quarter)View Footnote,·T·R···,04:00 PM-06:15 PM,Viviana Alcazar,ONLINE,OL
26982,SPAN 2,40Z,Elementary Spanish (Second Quarter)View Footnote,M·W····,06:30 PM-08:45 PM,Carmen Lizardi-Folley,ONLINE,OL
27699,SPAN 3,40Z,Elementary Spanish (Third Quarter)View Footnote,·T·R···,06:30 PM-08:45 PM,Viviana Alcazar,ONLINE,OL
02417,THEA 1,50Z,Appreciation of TheatreView Footnote,·······,TBA-TBA,Vernon Gallegos,ONLINE,OL
02416,THEA 1,51Z,Appreciation of TheatreView Footnote,·······,TBA-TBA,Vernon Gallegos,ONLINE,OL
24004,VIET 1,40,Elementary Vietnamese (First Quarter)View Footnote,·T·R···,04:00 PM-06:15 PM,Bac Tran,MCC-13,
24273,VIET 1,40Z,Elementary Vietnamese (First Quarter)View Footnote,M·W····,06:30 PM-08:45 PM,Bac Tran,ONLINE,OL
27953,WMST 1,01Z,Introduction to Women's StudiesView Footnote,·T·····,12:30 PM-02:20 PM,Marc Coronado,ONLINE,OL
TBA,·······,TBA-TBA,,,,,,
24421,WMST 1,60Z,Introduction to Women's StudiesView Footnote,·······,TBA-TBA,Marc Coronado,ONLINE,OL
25298,WMST 3C,50Z,Women and ArtView Footnote,·······,TBA-TBA,Natasha Kleit,ONLINE,OL
26998,WMST 8,61Z,Women of Color in the USAView Footnote,·······,TBA-TBA,Marc Coronado,ONLINE,OL
27061,WMST 9,01Z,Women in American HistoryView Footnote,M·W····,01:30 PM-03:20 PM,Anne Hickling,ONLINE,OL
21567,WMST 12,50Z,Psychology of GenderView Footnote,·······,TBA-TBA,Sandra Trafalis,ONLINE,OL
25571,WMST 21,50Z,Women in LiteratureView Footnote,·······,TBA-TBA,Francesca Caparas,ONLINE,OL
27610,WMST 24,60Z,Women and Gender in Global PerspectivesView Footnote,·······,TBA-TBA,Marc Coronado,ONLINE,OL
24147,WMST 28,62Z,Sociology of GenderView Footnote,·······,TBA-TBA,Jason Dehaan,ONLINE,OL
